Experiment,combo,MAE [m] (Test) Mean,MAE [m] (Test) Std,MAE [m] (Test) Count,nMAE [%] (Test) Mean,nMAE [%] (Test) Std,nMAE [%] (Test) Count,RMSE [m] (Test) Mean,RMSE [m] (Test) Std,RMSE [m] (Test) Count,Bias [m] (Test) Mean,Bias [m] (Test) Std,Bias [m] (Test) Count,R2 [-] (Test) Mean,R2 [-] (Test) Std,R2 [-] (Test) Count,F1 FMASK (Test) Mean,F1 FMASK (Test) Std,F1 FMASK (Test) Count,F1 DLT (Test) Mean,F1 DLT (Test) Std,F1 DLT (Test) Count
04_pixel_and_seasonal_comp,_110,9.95,0.43863424398922624,5,29.423999786376953,1.3115948194113543,5,12.126000022888183,0.48205825024736576,5,-9.156000137329102,0.48696001235697034,5,-1.862000012397766,0.22653922821491124,5,,,0,,,0
05_support_fmask_dlt,_011,5.052,0.5165946186324438,5,20.965999603271484,1.8107540071014794,5,6.471999931335449,0.6239550420386817,5,-3.5399999141693117,0.7222533821153618,5,0.5660000026226044,0.07797435244230104,5,,,0,,,0
05_support_fmask_dlt,_101,4.4159999999999995,0.11653325705565773,5,25.20999984741211,0.794921464460089,5,5.822000026702881,0.15706694871505553,5,2.094000005722046,0.4542356152101811,5,0.7040000081062316,0.016733213069136194,5,,,0,,,0
05_support_fmask_dlt,_110,9.693999999999999,0.6862433970538441,5,28.43000030517578,2.029372042697003,5,11.813999938964844,0.7123063116124461,5,-9.005999946594239,0.74483548346118,5,-1.7179999828338623,0.33304654567057246,5,,,0,,,0
06_support_fmask_dlt_dem,_011,4.965999999999999,0.29013789824840197,5,20.79199981689453,0.8526254974800334,5,6.374000072479248,0.32485376841856295,5,-3.2760000228881836,0.3508988176123207,5,0.5859999895095825,0.043931772219564645,5,,,0,,,0
06_support_fmask_dlt_dem,_101,4.432,0.20437710243566928,5,25.09000015258789,1.252038614110428,5,5.8,0.1919635414337361,5,1.5699999809265137,0.5673623264626056,5,0.7040000081062316,0.01816591104926267,5,,,0,,,0
06_support_fmask_dlt_dem,_110,8.431999999999999,0.11366617790706228,5,25.018000030517577,0.40083613752567054,5,10.568000030517577,0.15352515948271378,5,-7.264000034332275,0.08648690800470141,5,-1.1740000009536744,0.06618156025344947,5,,,0,,,0
07_aux_task,_011,5.7299999999999995,0.48207883172775806,5,23.72599983215332,1.5381904995213194,5,7.415999984741211,0.5928996751039138,5,-4.0699999809265135,0.7509660974296868,5,0.4379999995231628,0.0878635383337295,5,0.9876799999999999,0.0010377861051295912,5,0.91242,0.00187936159373337,5
07_aux_task,_101,4.49,0.07516648189186456,5,26.092000198364257,0.9419497550152114,5,5.966000080108643,0.1132696102924673,5,1.6660000085830688,0.39853486182144615,5,0.6860000014305114,0.011401743377431198,5,0.97536,0.001028591269649905,5,0.28916,0.01574922220301689,5
07_aux_task,_110,9.940000000000001,0.3489985673323022,5,29.444000244140625,1.023709281661512,5,12.197999954223633,0.389961537005163,5,-9.082000160217286,0.45378410871112407,5,-1.894000029563904,0.18609139683898973,5,0.94862,0.01165491312708936,5,0.6028,0.04704035501566714,5
